periode_data,usia,jumlah
202403,N/A,104
202403,7,1
202403,9,1
202403,10,1
202403,12,1
202403,13,1
202403,16,1
202403,22,1
202403,23,2
202403,25,1
202403,27,2
202403,28,2
202403,29,4
202403,30,3
202403,31,2
202403,32,3
202403,33,1
202403,34,8
202403,35,2
202403,36,5
202403,37,2
202403,38,3
202403,40,7
202403,41,2
202403,42,2
202403,43,4
202403,44,2
202403,46,1
202403,48,3
202403,52,1
202403,56,1
202403,58,1
202403,60,6
202403,61,2
202403,62,1
202403,64,1
202403,79,1
202408,8,1
202408,10,1
202408,11,3
202408,12,2
202408,13,1
202408,14,4
202408,15,12
202408,16,7
202408,17,4
202408,18,8
202408,19,2
202408,20,6
202408,21,8
202408,22,4
202408,23,4
202408,24,1
202408,25,8
202408,26,2
202408,27,3
202408,28,8
202408,29,5
202408,30,12
202408,31,3
202408,32,7
202408,33,1
202408,34,7
202408,35,4
202408,36,5
202408,37,6
202408,38,5
202408,39,4
202408,40,8
202408,41,2
202408,42,7
202408,43,3
202408,44,3
202408,45,9
202408,46,3
202408,47,6
202408,48,3
202408,49,1
202408,50,2
202408,51,1
202401,N/A,111
202401,2,1
202401,17,1
202401,21,1
202401,22,2
202401,24,3
202401,26,2
202401,27,1
202401,28,1
202401,30,7
202401,31,1
202401,32,3
202401,33,1
202401,34,2
202401,35,2
202401,36,2
202401,37,1
202401,38,1
202401,39,2
202401,40,4
202401,41,2
202401,42,3
202401,43,1
202401,44,5
202401,45,1
202401,47,2
202401,48,1
202401,50,2
202401,51,2
202401,54,1
202401,55,1
202401,56,1
202401,58,1
202401,59,2
202401,60,1
202401,65,1
202401,75,1
202402,N/A,131
202402,15,2
202402,17,2
202402,19,1
202402,20,3
202402,21,2
202402,22,1
202402,23,1
202402,25,2
202402,26,2
202402,27,2
202402,29,2
202402,30,3
202402,31,2
202402,32,2
202402,34,2
202402,35,4
202402,36,1
202402,37,6
202402,38,2
202402,40,4
202402,41,2
202402,42,3
202402,43,3
202402,44,2
202402,45,4
202402,46,2
202402,47,1
202402,51,1
202402,52,3
202402,56,1
202402,58,1
202402,60,2
202402,67,1
202406,N/A,117
202406,6,1
202406,12,2
202406,18,1
202406,19,1
202406,21,1
202406,22,3
202406,24,1
202406,26,1
202406,27,2
202406,28,3
202406,29,2
202406,30,2
202406,31,1
202406,32,4
202406,33,4
202406,34,2
202406,35,5
202406,36,3
202406,37,1
202406,38,6
202406,39,2
202406,40,4
202406,41,1
202406,42,3
202406,43,1
202406,44,2
202404,N/A,89
202404,9,1
202404,10,1
202404,18,1
202404,19,2
202404,20,1
202404,23,1
202404,24,2
202404,25,1
202404,28,1
202404,29,3
202404,30,3
202404,31,4
202404,32,2
202404,33,3
202404,34,2
202404,35,3
202404,36,1
202404,37,1
202404,38,2
202404,39,3
202404,41,1
202404,43,2
202404,44,1
202404,46,1
202404,48,1
202404,49,1
202404,50,1
202404,51,1
202404,52,1
202404,53,1
202404,55,2
202404,57,1
202404,59,1
202404,62,4
202404,74,1
202406,46,1
202406,48,1
202406,49,1
202406,50,3
202406,51,1
202406,53,1
202406,55,1
202406,60,1
202406,68,1
202406,70,1
202406,71,1
202407,40,6
202407,41,6
202407,42,8
202407,43,3
202407,44,11
202407,45,4
202407,46,1
202407,47,2
202407,48,4
202407,49,4
202407,50,6
202407,51,1
202407,52,1
202407,53,1
202407,54,2
202407,55,3
202407,56,3
202407,57,1
202407,58,2
202407,59,1
202407,60,2
202407,62,2
202407,67,1
202409,46,2
202409,47,4
202409,48,2
202409,49,1
202409,50,5
202409,51,3
202409,52,1
202409,53,1
202409,54,4
202409,55,2
202409,56,2
202409,58,3
202409,60,3
202409,61,1
202409,62,2
202409,64,1
202409,67,1
202409,70,1
202409,82,1
202409,90,1
202407,N/A,18
202407,6,1
202407,8,1
202407,11,1
202407,12,2
202407,13,2
202407,14,5
202407,15,2
202407,16,5
202407,17,4
202407,18,2
202407,19,5
202407,20,18
202407,21,9
202407,22,4
202407,23,4
202407,24,6
202407,25,7
202407,26,2
202407,27,6
202407,28,5
202407,29,4
202407,30,8
202407,31,5
202407,32,1
202407,33,4
202407,34,6
202407,35,10
202407,36,6
202407,38,3
202405,N/A,149
202405,11,1
202405,17,2
202405,18,2
202405,21,1
202405,22,1
202405,23,2
202405,24,1
202405,26,4
202405,27,3
202405,28,4
202405,29,4
202405,31,1
202405,32,2
202405,33,4
202405,34,3
202405,37,9
202405,38,1
202405,40,3
202405,41,2
202405,42,2
202405,43,2
202405,44,1
202405,45,2
202405,46,1
202405,48,1
202405,50,3
202405,53,2
202405,60,1
202405,67,1
202405,74,1
202408,53,1
202408,55,2
202408,56,3
202408,57,1
202408,60,4
202408,61,1
202408,63,1
202408,64,2
202408,65,1
202408,68,2
202408,70,4
202409,N/A,3
202409,5,1
202409,7,1
202409,9,1
202409,11,2
202409,12,2
202409,13,2
202409,14,3
202409,15,7
202409,16,2
202409,17,4
202409,18,4
202409,19,2
202409,20,3
202409,21,5
202409,22,3
202409,23,3
202409,24,4
202409,25,2
202409,26,3
202409,28,1
202409,29,3
202409,30,10
202409,31,3
202409,32,7
202409,33,1
202409,34,2
202409,35,2
202409,36,8
202409,37,4
202409,38,7
202409,40,11
202409,41,4
202409,42,3
202409,43,4
202409,44,5
202409,45,5
202411,43,5
202411,44,1
202411,45,4
202411,46,1
202411,47,2
202411,49,2
202411,50,4
202411,52,1
202411,53,1
202411,54,1
202411,56,3
202411,57,1
202411,58,6
202411,59,1
202411,64,1
202411,65,2
202411,70,1
202507,27,8
202507,28,6
202507,29,8
202507,30,6
202507,31,6
202507,32,5
202507,33,5
202507,34,8
202507,35,14
202507,36,5
202507,37,6
202507,38,1
202507,39,6
202507,40,18
202507,41,4
202507,42,8
202507,43,6
202507,44,3
202507,45,12
202507,46,4
202507,48,3
202507,49,4
202507,50,12
202507,51,1
202507,53,5
202507,54,2
202507,55,12
202507,56,2
202507,57,2
202507,58,1
202507,59,1
202507,60,7
202507,62,1
202507,63,2
202507,69,3
202507,75,1
202508,6,1
202508,8,1
202508,9,2
202508,10,2
202508,11,1
202508,12,1
202508,13,1
202508,14,7
202508,15,4
202508,16,2
202508,18,2
202508,19,3
202508,20,6
202508,21,2
202508,22,6
202508,23,3
202508,24,6
202508,25,9
202508,26,3
202508,27,8
202508,28,2
202508,29,6
202508,30,15
202508,31,2
202508,32,1
202504,N/A,9
202504,4,1
202504,8,1
202504,9,1
202504,11,1
202504,12,1
202504,13,5
202504,14,6
202504,15,5
202504,16,8
202504,17,7
202504,18,2
202504,19,4
202504,20,1
202504,21,2
202504,22,4
202504,23,1
202504,24,3
202504,25,5
202504,26,2
202504,27,5
202504,28,2
202504,29,5
202504,30,16
202504,31,5
202504,32,3
202504,33,8
202504,34,1
202504,35,10
202504,36,2
202504,37,10
202504,38,2
202504,39,1
202504,40,13
202504,41,5
202504,43,2
202504,44,1
202504,45,6
202504,46,3
202504,47,5
202504,48,1
202504,49,2
202504,50,8
202504,52,11
202504,53,2
202504,55,2
202504,58,2
202504,59,2
202504,60,5
202504,63,2
202504,67,1
202504,68,1
202504,70,2
202504,72,1
202506,N/A,11
202506,10,1
202506,11,4
202506,12,2
202506,15,2
202506,17,6
202506,18,1
202506,19,1
202506,20,14
202506,21,9
202506,23,5
202506,24,3
202506,25,6
202506,26,4
202506,27,3
202506,28,3
202506,29,1
202506,30,10
202506,31,5
202506,32,12
202506,33,2
202506,34,5
202506,35,14
202506,36,1
202506,37,4
202506,38,6
202506,39,3
202506,40,16
202506,41,4
202506,42,8
202506,43,3
202506,44,2
202506,45,5
202506,46,2
202506,47,6
202506,50,9
202506,51,2
202506,52,3
202506,53,2
202506,54,1
202506,55,7
202506,57,2
202506,58,3
202506,60,10
202506,62,2
202506,65,1
202506,66,1
202508,33,2
202508,34,4
202508,35,19
202508,36,4
202508,37,6
202508,38,5
202508,39,7
202508,40,12
202508,41,4
202508,44,3
202508,45,4
202508,46,1
202508,47,2
202508,48,2
202508,49,1
202508,50,6
202508,51,2
202508,53,1
202508,54,4
202508,55,3
202508,56,2
202508,58,2
202508,59,1
202508,60,3
202508,61,2
202508,63,3
202508,69,1
202509,N/A,13
202509,7,2
202509,8,6
202509,9,2
202509,10,4
202509,11,5
202509,13,3
202509,14,9
202509,15,17
202509,16,32
202509,17,119
202509,18,28
202509,19,6
202509,20,7
202509,21,2
202509,22,8
202509,23,7
202509,24,7
202509,25,7
202509,26,4
202509,27,3
202509,28,7
202509,29,3
202509,30,9
202509,31,1
202509,32,1
202509,33,5
202509,34,1
202502,N/A,30
202502,9,1
202502,10,1
202502,12,3
202502,13,1
202502,14,1
202502,15,4
202502,16,4
202502,17,10
202502,18,7
202502,19,3
202502,20,5
202502,21,8
202502,22,5
202502,23,8
202502,24,4
202502,25,11
202502,26,3
202502,27,3
202502,28,4
202502,29,6
202502,30,18
202502,31,6
202502,32,6
202502,33,4
202502,34,3
202502,35,6
202502,36,2
202502,37,4
202502,38,4
202502,39,6
202502,40,21
202502,41,6
202502,42,11
202502,43,6
202502,44,3
202502,45,7
202502,46,1
202502,47,3
202502,48,1
202502,50,16
202502,51,3
202502,53,3
202502,55,3
202502,59,1
202502,60,2
202502,61,1
202502,62,4
202502,63,1
202502,67,2
202502,72,1
202509,35,10
202509,36,3
202509,37,7
202509,38,3
202509,39,8
202509,40,54
202509,41,4
202509,42,7
202509,43,4
202509,44,7
202509,45,3
202509,46,6
202509,47,1
202509,48,2
202509,49,4
202509,50,23
202509,51,2
202509,53,1
202509,54,2
202509,55,4
202509,56,3
202509,57,1
202509,58,2
202509,60,3
202509,61,1
202509,62,1
202509,65,1
202503,42,5
202503,43,9
202503,44,2
202503,45,9
202503,46,5
202503,47,1
202503,48,7
202503,49,1
202503,50,7
202503,52,1
202503,53,1
202503,54,3
202503,55,2
202503,56,2
202503,57,1
202503,58,1
202503,59,4
202503,60,1
202503,61,30
202503,62,1
202503,63,6
202503,64,3
202503,65,1
202503,66,1
202507,N/A,7
202507,7,3
202507,8,1
202507,9,1
202507,10,6
202507,11,2
202507,13,3
202507,14,8
202507,15,7
202507,16,3
202507,17,2
202507,18,7
202507,19,2
202507,20,6
202507,21,7
202507,22,2
202507,23,4
202507,24,4
202507,25,9
202507,26,4
202503,N\A,7
202503,8,1
202503,9,5
202503,10,5
202503,11,3
202503,12,9
202503,14,1
202503,15,5
202503,16,3
202503,17,2
202503,18,1
202503,19,5
202503,20,8
202503,21,6
202503,22,3
202503,23,4
202503,24,6
202503,25,7
202503,26,12
202503,27,4
202503,28,5
202503,29,4
202503,30,18
202503,31,1
202503,32,14
202503,33,1
202503,34,8
202503,35,5
202503,36,4
202503,37,4
202503,38,1
202503,39,6
202503,40,13
202503,41,4
202412,N/A,2
202412,12,1
202412,14,1
202412,15,5
202412,16,5
202412,17,3
202412,18,9
202412,19,1
202412,20,5
202412,21,4
202412,22,3
202412,23,4
202412,24,3
202412,25,6
202412,26,2
202412,27,2
202412,28,3
202412,29,1
202412,30,10
202412,31,3
202412,32,5
202412,33,3
202412,34,1
202412,35,16
202412,36,4
202412,37,2
202412,38,3
202412,40,10
202412,41,3
202412,42,4
202412,43,5
202412,44,6
202412,46,3
202412,48,2
202412,49,2
202412,50,7
202412,51,1
202412,52,2
202412,53,2
202412,54,1
202412,55,4
202412,59,1
202412,60,4
202412,62,1
202412,74,1
202501,10,1
202501,11,1
202501,13,2
202501,14,1
202501,15,2
202501,16,4
